label,phrase
eng,Can you recommend a hotel?
other,¿Puedes recomendar un hotel?
eng,The soup is very hot
other,La sopa està molt calenta
eng,I need to buy a ticket
other,Je dois acheter un billet
eng,The window is open
other,La finestra està oberta
eng,What's the WiFi password?
other,Qual è la password del WiFi?
eng,I have a reservation
other,Tengo una reserva
eng,The air conditioning is broken
other,L'aire condicionat està espatllat
eng,Can you call me a taxi?
other,Pots trucar-me un taxi?
eng,The television doesn't work
other,La télévision ne marche pas
eng,I need to send an email
other,Necessito enviar un correu electrònic
eng,The restaurant is full
other,El restaurante está lleno
eng,What floor is the gym on?
other,En quin pis està el gimnàs?
eng,I lost my phone
other,J'ai perdu mon téléphone
eng,The music is too loud
other,La música és massa alta
eng,Can you help me translate this?
other,¿Me puedes ayudar a traducir esto?
eng,The bread is fresh
other,Il pane è fresco
eng,I need to buy medicine
other,He de comprar medicina
eng,The elevator is out of order
other,L'ascenseur est en panne
eng,What time is breakfast served?
other,¿A qué hora se sirve el desayuno?
eng,I have a question
other,Ho una domanda
eng,The room is too small
other,La habitación es demasiado pequeña
eng,Can you give me directions?
other,Peux-tu me donner des directions?
eng,The lights are not working
other,Els llums no funcionen
eng,I need to make a reservation
other,Necesito hacer una reserva
eng,The bathroom is occupied
other,Il bagno è occupato
eng,What's on the menu today?
other,Què hi ha al menú avui?
eng,I lost my ticket
other,J'ai perdu mon billet
eng,The window won't close
other,La ventana no se cierra
eng,Can you repeat that please?
other,¿Puedes repetir eso por favor?
eng,The water is not hot
other,L'aigua no és calenta
eng,I need to charge my phone
other,Ho bisogno di caricare il telefono
eng,The door won't open
other,La porta no s'obre
eng,What time does the movie start?
other,¿A qué hora empieza la película?
eng,I have an allergy
other,Je suis allergique
eng,The street is closed
other,El carrer està tancat
eng,Can you take me to the airport?
other,¿Puedes llevarme al aeropuerto?
eng,The bill is incorrect
other,La factura és incorrecta
eng,I need to buy a map
other,Ho de comprar un mapa
eng,The bathroom is downstairs
other,La salle de bain est en bas
eng,What's your name?
other,Com et dius?
eng,I lost my glasses
other,He perdut les ulleres
eng,The room is too hot
other,La chambre est trop chaude
eng,Can you recommend a good movie?
other,Puoi consigliare un buon film?
eng,The train is delayed
other,El tren porta retard
eng,I need to make a phone call
other,Necesito hacer una llamada
eng,The sink is clogged
other,L'évier est bouché
eng,What time do you close?
other,A quina hora tanqueu?
eng,I have a reservation for two
other,Ho una prenotazione per due
eng,The service is excellent
other,El servei és excel·lent
eng,Can you help me with the menu?
other,¿Me puedes ayudar con el menú?
eng,The ice cream is melting
other,El gelat s'està fonent
eng,I need to buy a new phone
other,J'ai besoin d'acheter un nouveau téléphone
eng,The stairs are slippery
other,Les escaleres són relliscoses
eng,What's the special today?
other,Qual è il piatto del giorno?
eng,I lost my boarding pass
other,He perdut la targeta d'embarcament
eng,The battery is dead
other,La batería está muerta
eng,Can you recommend a museum?
other,Peux-tu recommander un musée?
eng,The food is cold
other,El menjar està fred
eng,I need to find a pharmacy
other,Necessito trobar una farmàcia
eng,The toilets are out of order
other,Els lavabos estan fora de servei
eng,What's your email address?
other,¿Cuál es tu dirección de correo electrónico?
eng,I have a fever
other,Ho la febbre
eng,The shower is broken
other,La ducha está rota
eng,Can you help me with my bags?
other,Pots ajudar-me amb les maletes?
eng,The room needs cleaning
other,La chambre a besoin d'être nettoyée
eng,I need to buy a charger
other,Necesito comprar un cargador
eng,The mirror is dirty
other,El mirall està brut
eng,What floor are we on?
other,¿En qué piso estamos?
eng,I lost my room key
other,J'ai perdu la clé de ma chambre
eng,The website is down
other,El lloc web no funciona
eng,Can you call an ambulance?
other,¿Puedes llamar a una ambulancia?
eng,The pool is closed
other,La piscina està tancada
eng,I need to buy a gift
other,Ho bisogno di comprare un regalo
eng,The light bulb is burnt out
other,L'ampoule est grillée
eng,What's the exchange rate?
other,Quin és el tipus de canvi?
eng,I have a complaint
other,Tengo una queja
eng,The bed is uncomfortable
other,El llit és incòmode
eng,Can you recommend a beach?
other,¿Puedes recomendar una playa?
eng,The wine list please
other,La carta de vins si us plau
eng,I need to find a bank
other,Je dois trouver une banque
eng,The toilet is clogged
other,Il bagno è intasato
eng,What's the total cost?
other,¿Cuál es el coste total?
eng,I lost my credit card
other,Ho perdut la targeta de crèdit
eng,The air is too dry
other,L'air est trop sec
eng,Can you call the police?
other,Pots trucar a la policia?
eng,The heating doesn't work
other,La calefacció no funciona
eng,I need to find an ATM
other,Necesito encontrar un cajero automático
eng,The floor is wet
other,El terra està mullat
eng,What's your address?
other,Quelle est ton adresse?
eng,I have a reservation for tonight
other,Ho una prenotazione per stasera
eng,The towels need changing
other,Les tovalloles s'han de canviar
eng,Can you recommend a nightclub?
other,¿Puedes recomendar una discoteca?
eng,The salad is fresh
other,L'insalata è fresca
eng,I need to buy a newspaper
other,He de comprar un diari
eng,The remote control is missing
other,El comando está perdido
eng,What time is checkout tomorrow?
other,¿A qué hora es el check-out mañana?
eng,I lost my bag
other,J'ai perdu mon sac
eng,The ceiling is leaking
other,El sostre té una gotera
eng,Can you take a message?
other,¿Puedes tomar un mensaje?
eng,The dessert menu please
other,El menú de postres si us plau
eng,I need to find a taxi
other,Je dois trouver un taxi
eng,The window is broken
other,La finestra està trencada
eng,What's included in the price?
other,Què està inclòs en el preu?
eng,I have a toothache
other,Tengo dolor de muelas
eng,The TV remote doesn't work
other,El comandament de la TV no funciona
eng,Can you recommend a park?
other,Puoi consigliare un parco?
eng,The fish is fresh
other,El peix és fresc
eng,I need to find a post office
other,Necesito encontrar una oficina de correos
eng,The door handle is broken
other,La poignée de la porte est cassée
eng,What's your favorite place here?
other,Quin és el teu lloc preferit aquí?
eng,I lost my earphones
other,Ho perso gli auricolari
